x,y
125,500
124,501
123,501
122,502
121,502
120,503
119,503
118,504
117,504
116,505
115,505
114,505
113,504
112,504
111,503
110,503
109,502
108,502
107,501
106,501
105,500
104,500
103,499
102,499
101,498
100,498
99,497
98,497
97,496
96,496
95,495
94,495
94,494
94,493
95,492
95,491
96,491
97,490
98,490
99,489
99,488
100,488
101,487
101,486
101,485
101,484
102,484
102,483
102,482
102,481
103,480
103,479
104,479
104,478
105,477
106,477
107,476
108,477
109,477
110,478
111,478
112,479
113,479
114,480
115,480
116,481
117,481
118,482
119,482
120,483
121,483
122,483
123,483
124,483
125,483
126,483
127,483
128,483
129,483
130,483
131,483
132,484
133,484
134,485
135,485
136,486
137,486
138,487
139,487
140,488
141,488
142,489
143,489
144,490
145,490
146,491
147,491
148,492
149,492
150,493
151,493
152,494
153,494
154,495
155,495
156,495
157,494
158,494
159,493
160,493
161,492
162,492
163,491
164,491
165,490
166,490
167,489
168,489
169,488
170,488
171,487
172,487
173,486
174,486
175,485
176,485
177,484
178,484
179,483
180,483
181,482
182,482
183,481
184,481
185,480
186,480
187,479
188,479
189,479
190,479
191,479
192,479
193,479
194,479
195,479
196,479
197,478
198,478
199,477
200,477
201,476
202,476
203,475
204,475
205,474
206,474
207,473
208,473
209,472
210,472
211,471
212,471
213,470
214,470
215,469
216,469
217,468
218,468
219,467
220,467
221,466
222,466
223,465
224,465
225,465
226,466
227,466
228,467
229,467
230,468
231,468
232,469
233,469
234,470
235,470
236,471
237,471
238,472
239,472
240,473
241,473
242,474
243,474
244,475
245,475
246,476
247,476
248,477
249,477
250,478
251,478
252,479
253,479
254,480
255,480
256,481
257,481
258,482
259,482
260,483
261,483
262,484
263,484
264,485
265,485
266,486
267,486
268,487
269,487
270,488
271,488
272,489
273,489
274,490
275,490
276,491
277,491
278,492
279,491
280,491
281,490
282,490
283,489
284,489
285,488
286,488
287,487
288,487
289,486
290,486
291,485
292,485
293,484
294,484
295,483
296,483
297,483
298,483
299,482
300,482
301,481
302,481
303,480
304,480
305,479
306,479
307,478
308,478
309,477
310,477
311,476
312,476
313,475
314,475
315,474
316,474
317,473
318,473
319,472
320,472
321,471
322,471
323,470
324,470
325,469
326,469
327,468
328,468
329,467
330,467
331,466
332,466
333,465
334,465
335,464
336,464
337,464
338,464
339,464
340,464
341,463
342,463
343,462
344,462
345,461
346,461
347,460
348,460
349,459
350,459
351,458
352,458
353,458
354,458
355,458
355,459
356,460
357,460
357,461
358,462
359,462
359,463
360,464
361,464
361,465
362,466
362,467
362,468
362,469
362,470
362,471
362,472
362,473
362,474
361,474
360,475
359,475
358,476
357,476
356,477
355,477
354,478
353,478
352,479
351,479
350,480
349,480
348,481
347,481
346,482
345,482
344,483
343,483
342,484
341,484
340,485
