x,y
270,150
269,149
268,149
267,148
266,148
265,147
264,147
263,146
262,146
261,145
260,145
259,144
258,144
257,143
256,143
255,142
254,142
253,141
252,141
251,140
250,140
249,139
248,139
247,138
246,138
245,137
244,137
243,136
242,136
241,135
240,135
239,134
238,134
237,133
237,132
237,131
236,131
236,130
236,129
236,128
235,127
234,127
233,127
232,127
231,127
230,128
229,128
228,129
227,129
226,130
225,130
224,131
223,131
222,132
221,132
220,133
219,133
218,134
217,134
216,135
215,135
214,136
213,136
212,137
212,138
212,139
212,140
212,141
212,142
212,143
212,144
212,145
212,146
212,147
212,148
212,149
212,150
212,151
212,152
212,153
212,154
212,155
212,156
212,157
212,158
213,158
214,159
215,159
215,160
215,161
215,162
215,163
215,164
215,165
215,166
215,167
215,168
215,169
215,170
215,171
215,172
215,173
215,174
215,175
215,176
215,177
215,178
215,179
215,180
215,181
215,182
215,183
216,184
216,185
216,186
216,187
216,188
216,189
217,189
217,190
217,191
218,192
219,192
220,193
220,194
221,194
222,195
223,195
224,196
225,196
225,197
225,198
225,199
225,200
225,201
225,202
225,203
225,204
225,205
225,206
225,207
225,208
225,209
225,210
225,211
225,212
225,213
225,214
225,215
225,216
225,217
225,218
225,219
225,220
225,221
225,222
225,223
225,224
225,225
225,226
225,227
225,228
225,229
225,230
225,231
225,232
225,233
225,234
225,235
225,236
225,237
225,238
225,239
225,240
225,241
225,242
225,243
225,244
225,245
225,246
225,247
225,248
225,249
225,250
225,251
225,252
225,253
225,254
225,255
225,256
225,257
225,258
225,259
225,260
225,261
225,262
226,263
226,264
226,265
226,266
226,267
226,268
226,269
226,270
226,271
226,272
226,273
226,274
226,275
226,276
226,277
226,278
226,279
226,280
226,281
226,282
226,283
226,284
226,285
226,286
226,287
226,288
226,289
226,290
226,291
226,292
226,293
226,294
226,295
226,296
226,297
226,298
226,299
226,300
226,301
226,302
226,303
226,304
226,305
226,306
226,307
226,308
226,309
226,310
226,311
226,312
226,313
226,314
226,315
226,316
226,317
226,318
226,319
226,320
226,321
226,322
227,322
228,323
229,323
230,324
231,324
232,325
233,325
233,326
233,327
233,328
233,329
233,330
233,331
233,332
233,333
233,334
233,335
233,336
233,337
233,338
233,339
233,340
233,341
233,342
233,343
233,344
233,345
233,346
233,347
233,348
233,349
233,350
233,351
233,352
233,353
234,354
234,355
235,355
235,356
235,357
236,358
236,359
237,359
237,360
238,361
239,361
239,362
239,363
240,364
241,364
241,365
242,366
243,366
243,367
244,368
245,368
246,369
247,369
247,370
248,371
249,371
249,372
249,373
249,374
249,375
250,376
251,376
252,377
253,377
254,378
255,378
256,379
257,379
258,380
259,380
260,381
261,381
262,382
263,382
264,383
265,383
266,384
267,384
268,385
269,385
269,386
269,387
269,388
269,389
268,390
267,390
266,391
265,391
264,392
263,392
262,393
261,393
260,394
259,394
258,395
257,395
256,396
255,396
254,396
253,395
252,395
251,394
250,394
249,393
249,392
249,391
248,391
247,390
246,390
246,389
245,388
245,387
244,387
244,386
243,385
243,384
242,384
241,383
241,382
241,381
241,380
240,380
239,379
238,379
237,378
236,378
235,377
234,377
233,376
232,376
231,375
