x,y
482,182
483,182
484,183
484,184
485,184
486,185
487,185
488,186
489,186
490,187
491,187
492,188
493,188
493,189
494,190
495,190
495,191
496,192
497,192
498,193
499,192
500,193
501,192
502,193
503,192
504,193
505,193
505,194
505,195
506,196
506,197
506,198
506,199
506,200
506,201
505,201
504,202
504,203
503,203
502,204
501,204
500,205
500,206
499,206
498,207
497,207
496,207
495,207
494,207
493,206
492,206
491,205
490,205
489,204
488,204
487,204
486,204
485,204
484,205
483,205
482,206
481,206
480,207
479,206
478,207
477,207
476,208
475,208
474,209
473,209
472,210
471,210
470,211
469,210
468,210
467,209
466,210
465,209
464,210
463,210
463,211
462,212
461,212
460,213
459,213
459,214
458,215
457,215
457,216
457,217
457,218
457,219
456,220
455,220
454,221
453,221
452,222
451,222
450,223
449,223
448,223
447,223
446,223
445,222
444,222
443,222
442,223
441,223
440,224
439,224
438,225
437,225
436,226
435,226
435,227
434,228
433,228
432,229
431,229
430,230
429,230
428,231
427,231
426,232
425,232
424,233
423,233
422,234
421,234
420,235
419,235
418,236
417,236
416,237
415,237
415,238
414,239
413,239
412,240
411,240
410,241
409,241
408,242
408,243
408,244
407,244
406,245
405,245
404,246
403,246
402,247
401,247
400,248
399,248
398,249
397,248
396,249
395,248
394,249
393,249
393,250
392,251
391,251
390,252
389,252
388,253
387,253
386,254
385,254
384,255
383,255
382,255
381,255
380,255
379,255
378,255
377,254
376,255
375,254
374,254
373,253
372,253
371,252
370,252
369,252
368,252
367,252
366,253
365,252
364,253
363,253
362,254
361,253
360,254
359,254
358,255
357,255
356,256
355,256
354,257
353,257
352,257
351,257
350,257
349,257
348,257
347,257
346,258
345,258
344,259
343,259
343,260
343,261
343,262
343,263
342,264
342,265
342,266
341,266
340,267
339,266
338,267
337,267
336,268
335,268
334,269
333,269
332,270
332,271
332,272
332,273
332,274
332,275
331,275
331,276
330,277
329,277
328,278
327,278
326,279
325,279
324,280
323,280
322,281
321,281
320,282
319,282
318,283
317,283
316,284
315,283
314,284
313,284
312,285
311,285
310,286
310,287
309,287
308,288
307,287
306,288
305,288
305,289
304,290
304,291
304,292
303,292
302,293
301,293
300,294
299,294
298,295
297,295
296,296
295,296
294,297
293,297
292,298
291,298
290,299
290,300
289,300
288,301
288,302
288,303
288,304
288,305
287,305
287,306
287,307
286,308
285,307
284,308
283,307
282,308
281,308
280,309
279,309
278,310
277,309
276,309
275,308
274,309
273,309
273,310
272,311
271,311
270,312
269,312
268,312
267,312
266,312
265,311
264,311
263,310
262,310
261,309
260,309
259,309
258,309
257,309
256,309
255,309
254,309
253,309
252,310
251,310
250,310
249,309
248,309
247,308
246,308
245,307
244,308
243,308
242,308
241,308
240,309
239,308
238,308
237,308
236,308
235,307
234,307
233,307
232,307
231,307
230,308
229,308
228,309
227,309
226,310
225,310
224,311
223,311
222,311
221,311
220,312
219,312
218,313
217,313
216,313
215,313
214,314
213,314
212,314
211,314
210,315
209,315
208,316
207,316
206,317
205,317
204,318
203,317
202,318
201,318
200,319
199,319
198,320
197,320
196,321
195,321
194,322
193,321
192,322
191,322
190,323
189,322
188,322
187,322
186,323
185,323
185,324
184,325
183,325
182,326
181,326
180,327
179,327
178,327
177,327
176,328
175,328
174,329
173,329
172,330
171,330
170,331
169,331
168,331
167,330
166,330
165,330
164,331
163,330
162,330
162,329
162,328
161,327
160,327
159,326
158,326
157,325
156,325
155,324
154,324
153,324
152,325
151,325
150,326
149,326
148,327
147,327
146,328
145,328
144,329
143,329
142,330
142,331
141,331
140,332
139,332
138,333
137,333
136,334
135,334
134,335
134,336
133,336
132,337
131,337
130,338
129,338
128,339
127,339
126,340
125,340
124,341
123,341
122,342
121,342
121,343
120,344
119,344
118,345
117,345
116,346
115,346
114,347
113,347
112,348
111,348
110,349
109,349
108,350
107,349
106,350
105,350
104,350
103,350
102,350
101,350
100,350
99,350
98,350
97,350
96,350
95,350
94,350
93,349
93,348
92,348
92,347
92,346
91,345
90,345
89,344
88,344
87,343
86,343
85,343
84,344
83,344
82,345
81,345
80,346
79,346
78,347
77,347
76,348
75,348
75,349
75,350
75,351
75,352
75,353
75,354
75,355
75,356
75,357
74,358
74,359
74,360
73,360
72,361
71,361
70,362
69,362
68,363
67,363
66,363
66,362
65,361
65,360
65,359
65,358
64,358
64,357
63,356
63,355
63,354
63,353
63,352
63,351
63,350
63,349
63,348
62,348
62,347
62,346
