x,y
223,365
224,365
225,365
225,366
226,366
226,367
226,368
226,369
226,370
226,371
226,372
226,373
225,373
224,373
223,373
222,373
221,373
220,373
219,373
218,373
218,372
218,371
218,370
218,369
218,368
218,367
218,366
218,365
218,364
218,363
218,362
218,361
217,361
217,360
216,360
215,360
214,360
213,360
213,359
213,358
213,357
213,356
213,355
213,354
213,353
213,352
212,352
212,351
211,351
210,351
210,350
210,349
210,348
210,347
210,346
210,345
210,344
210,343
210,342
210,341
210,340
210,339
211,339
211,338
211,337
211,336
211,335
212,335
213,335
214,335
214,334
215,334
215,333
215,332
215,331
215,330
215,329
215,328
216,328
216,327
217,327
217,326
217,325
217,324
217,323
217,322
217,321
216,321
216,320
215,320
215,319
215,318
215,317
215,316
215,315
215,314
215,313
215,312
215,311
215,310
215,309
215,308
215,307
216,307
217,307
217,306
218,306
219,306
220,306
221,306
221,305
222,305
222,304
222,303
222,302
222,301
222,300
222,299
222,298
222,297
222,296
222,295
222,294
222,293
222,292
222,291
222,290
222,289
222,288
222,287
222,286
222,285
222,284
222,283
221,283
221,282
220,282
220,281
220,280
220,279
220,278
220,277
220,276
220,275
221,275
222,275
223,275
223,274
223,273
223,272
223,271
223,270
223,269
223,268
223,267
222,267
222,266
222,265
222,264
222,263
222,262
222,261
222,260
222,259
222,258
222,257
222,256
222,255
222,254
222,253
222,252
222,251
222,250
222,249
222,248
222,247
221,247
221,246
220,246
220,245
219,245
219,244
219,243
219,242
219,241
219,240
218,240
218,239
217,239
217,238
217,237
217,236
217,235
217,234
217,233
217,232
217,231
217,230
217,229
217,228
217,227
217,226
217,225
217,224
217,223
217,222
217,221
217,220
217,219
217,218
218,218
218,217
219,217
220,217
221,217
221,216
221,215
220,215
220,214
220,213
220,212
220,211
220,210
220,209
220,208
220,207
220,206
220,205
220,204
220,203
220,202
220,201
220,200
220,199
219,199
218,199
218,198
218,197
218,196
219,196
219,195
220,195
220,194
220,193
220,192
220,191
221,191
221,190
222,190
222,189
223,189
223,188
223,187
224,187
224,186
225,186
225,185
226,185
226,184
226,183
226,182
226,181
226,180
227,180
227,179
227,178
227,177
227,176
227,175
227,174
227,173
227,172
226,172
225,172
225,171
224,171
224,170
223,170
222,170
221,170
220,170
220,169
220,168
220,167
219,167
219,166
219,165
219,164
219,163
218,163
217,163
217,162
217,161
217,160
216,160
215,160
214,160
213,160
212,160
211,160
211,159
211,158
210,158
209,158
208,158
207,158
206,158
206,157
206,156
205,156
205,155
204,155
204,154
204,153
204,152
204,151
205,151
206,151
206,150
206,149
207,149
208,149
208,148
208,147
208,146
208,145
208,144
208,143
208,142
208,141
208,140
208,139
208,138
208,137
208,136
208,135
209,135
210,135
211,135
212,135
213,135
213,134
213,133
213,132
213,131
213,130
213,129
213,128
213,127
213,126
213,125
214,125
214,124
214,123
215,123
215,122
215,121
215,120
216,120
217,120
217,119
217,118
217,117
217,116
217,115
217,114
217,113
217,112
217,111
217,110
217,109
218,109
218,108
218,107
218,106
218,105
218,104
218,103
218,102
218,101
218,100
218,99
218,98
219,98
219,97
219,96
219,95
219,94
219,93
219,92
219,91
219,90
219,89
220,89
220,88
220,87
220,86
220,85
220,84
220,83
219,83
219,82
218,82
217,82
217,81
216,81
216,80
215,80
215,79
215,78
214,78
214,77
214,76
214,75
214,74
214,73
214,72
214,71
214,70
214,69
214,68
214,67
213,67
213,66
213,65
213,64
213,63
212,63
212,62
211,62
211,61
211,60
211,59
211,58
211,57
210,57
210,56
210,55
210,54
210,53
210,52
210,51
210,50
210,49
210,48
210,47
211,47
211,46
211,45
212,45
212,44
212,43
212,42
212,41
212,40
212,39
212,38
212,37
212,36
212,35
213,35
214,35
215,35
216,35
217,35
218,35
219,35
220,35
221,35
222,35
223,35
223,34
223,33
224,33
225,33
225,32
225,31
225,30
225,29
225,28
225,27
225,26
225,25
225,24
226,24
226,23
227,23
228,23
228,22
229,22
230,22
231,22
232,22
233,22
234,22
234,23
235,23
236,23
237,23
238,23
238,24
239,24
240,24
241,24
242,24
243,24
244,24
245,24
245,25
246,25
