x,y
511,0
510,0
509,0
508,0
507,0
506,0
505,0
504,0
503,0
502,0
501,0
500,0
499,0
498,0
498,1
497,1
497,2
497,3
497,4
497,5
496,5
496,6
496,7
496,8
496,9
496,10
496,11
496,12
496,13
496,14
496,15
496,16
496,17
496,18
496,19
496,20
496,21
496,22
496,23
496,24
496,25
496,26
496,27
495,27
495,28
494,28
493,28
492,28
491,28
490,28
489,28
488,28
487,28
486,28
485,28
484,28
483,28
482,28
481,28
480,28
479,28
478,28
477,28
476,28
475,28
474,28
473,28
472,28
471,28
470,28
469,28
468,28
467,28
466,28
465,28
464,28
463,28
462,28
461,28
460,28
459,28
459,27
459,26
459,25
459,24
459,23
459,22
459,21
459,20
458,20
458,19
457,19
457,18
456,18
456,17
455,17
455,16
454,16
454,15
453,15
452,15
451,15
450,15
449,15
448,15
447,15
446,15
445,15
444,15
443,15
442,15
441,15
440,15
439,15
438,15
437,15
436,15
435,15
434,15
433,15
432,15
431,15
430,15
429,15
428,15
427,15
426,15
425,15
424,15
423,15
422,15
421,15
420,15
419,15
418,15
417,15
416,15
415,15
414,15
413,15
412,15
411,15
410,15
409,15
408,15
407,15
406,15
405,15
404,15
403,15
402,15
401,15
400,15
399,15
398,15
397,15
397,14
396,14
396,13
396,12
395,12
395,11
394,11
394,10
393,10
393,9
392,9
392,8
391,8
391,7
390,7
390,6
389,6
389,5
388,5
387,5
387,4
386,4
385,4
384,4
383,4
382,4
381,4
380,4
379,4
378,4
377,4
376,4
376,5
376,6
376,7
376,8
376,9
376,10
376,11
376,12
376,13
376,14
376,15
376,16
377,16
378,16
379,16
380,16
381,16
382,16
382,17
382,18
383,18
383,19
383,20
383,21
383,22
383,23
383,24
383,25
383,26
383,27
383,28
383,29
383,30
383,31
383,32
383,33
383,34
383,35
383,36
383,37
383,38
383,39
383,40
383,41
383,42
383,43
383,44
383,45
383,46
383,47
383,48
383,49
383,50
383,51
383,52
383,53
383,54
383,55
383,56
383,57
383,58
384,58
385,58
386,58
386,59
387,59
387,60
388,60
388,61
388,62
388,63
388,64
389,64
390,64
390,65
390,66
391,66
391,67
391,68
391,69
391,70
391,71
391,72
392,72
393,72
393,73
393,74
393,75
394,75
395,75
396,75
396,76
397,76
398,76
399,76
400,76
401,76
402,76
403,76
403,77
404,77
404,78
404,79
405,79
406,79
406,80
406,81
406,82
406,83
406,84
406,85
406,86
406,87
406,88
406,89
406,90
406,91
406,92
406,93
406,94
406,95
406,96
407,96
408,96
409,96
410,96
411,96
412,96
413,96
414,96
415,96
416,96
417,96
418,96
419,96
420,96
421,96
422,96
423,96
424,96
425,96
426,96
427,96
428,96
429,96
430,96
431,96
432,96
433,96
434,96
435,96
436,96
437,96
438,96
439,96
440,96
441,96
441,97
442,97
443,97
443,98
444,98
444,99
445,99
445,100
446,100
447,100
447,101
447,102
448,102
448,103
448,104
448,105
448,106
448,107
449,107
449,108
449,109
449,110
449,111
449,112
449,113
449,114
449,115
449,116
449,117
449,118
449,119
449,120
449,121
449,122
449,123
449,124
449,125
449,126
449,127
449,128
450,128
451,128
452,128
453,128
453,129
453,130
453,131
453,132
453,133
453,134
453,135
453,136
453,137
453,138
453,139
453,140
453,141
453,142
453,143
453,144
453,145
453,146
453,147
453,148
453,149
453,150
453,151
453,152
453,153
453,154
454,154
454,155
454,156
454,157
454,158
454,159
454,160
454,161
454,162
454,163
454,164
454,165
454,166
454,167
454,168
454,169
454,170
454,171
454,172
454,173
454,174
454,175
454,176
454,177
454,178
454,179
454,180
454,181
454,182
454,183
454,184
454,185
454,186
454,187
454,188
454,189
454,190
454,191
454,192
454,193
454,194
454,195
454,196
454,197
454,198
454,199
454,200
454,201
454,202
454,203
454,204
454,205
454,206
454,207
454,208
454,209
454,210
454,211
454,212
454,213
454,214
