x,y
62,346
62,347
62,348
62,349
62,350
62,351
62,352
62,353
62,354
62,355
63,355
64,355
64,356
64,357
64,358
64,359
64,360
64,361
64,362
65,362
66,362
66,363
67,363
68,363
69,363
70,363
71,363
72,363
73,363
73,362
73,361
74,361
74,360
74,359
74,358
74,357
74,356
74,355
74,354
74,353
74,352
74,351
74,350
74,349
75,349
75,348
76,348
77,348
78,348
79,348
80,348
81,348
82,348
82,347
83,347
83,346
83,345
83,344
84,344
85,344
85,343
86,343
87,343
88,343
89,343
90,343
91,343
92,343
92,344
92,345
92,346
92,347
92,348
92,349
93,349
93,350
94,350
95,350
96,350
97,350
98,350
99,350
100,350
101,350
102,350
103,350
104,350
105,350
106,350
107,350
108,350
109,350
110,350
111,350
112,350
113,350
114,350
114,349
114,348
115,348
115,347
116,347
117,347
118,347
119,347
119,346
119,345
119,344
120,344
120,343
120,342
121,342
122,342
123,342
124,342
125,342
126,342
127,342
128,342
128,341
128,340
129,340
130,340
131,340
131,339
131,338
132,338
133,338
133,337
133,336
133,335
134,335
135,335
135,334
136,334
137,334
138,334
139,334
140,334
141,334
142,334
142,333
142,332
142,331
143,331
144,331
144,330
144,329
145,329
146,329
147,329
148,329
149,329
149,328
150,328
150,327
151,327
152,327
152,326
152,325
153,325
153,324
154,324
155,324
156,324
157,324
158,324
158,325
158,326
159,326
159,327
160,327
161,327
161,328
161,329
162,329
162,330
163,330
163,331
164,331
165,331
166,331
167,331
168,331
169,331
170,331
171,331
172,331
173,331
173,330
174,330
175,330
176,330
177,330
178,330
178,329
179,329
180,329
181,329
182,329
183,329
184,329
184,328
184,327
184,326
184,325
184,324
184,323
185,323
186,323
186,322
187,322
188,322
189,322
190,322
191,322
192,322
193,322
194,322
195,322
196,322
197,322
198,322
199,322
199,321
199,320
199,319
199,318
200,318
201,318
202,318
203,318
204,318
205,318
206,318
207,318
208,318
209,318
210,318
211,318
212,318
213,318
214,318
215,318
215,317
215,316
215,315
215,314
215,313
216,313
217,313
218,313
219,313
220,313
221,313
222,313
223,313
224,313
225,313
226,313
227,313
228,313
228,312
229,312
229,311
229,310
229,309
230,309
230,308
231,308
231,307
232,307
233,307
234,307
235,307
236,307
237,307
238,307
239,307
240,307
241,307
242,307
243,307
244,307
245,307
246,307
247,307
248,307
248,308
248,309
249,309
249,310
250,310
251,310
252,310
253,310
254,310
255,310
256,310
257,310
258,310
259,310
260,310
261,310
262,310
263,310
264,310
265,310
265,311
266,311
266,312
267,312
268,312
269,312
270,312
270,311
271,311
272,311
272,310
273,310
273,309
274,309
275,309
276,309
277,309
278,309
279,309
280,309
281,309
282,309
283,309
284,309
284,310
284,311
284,312
285,312
285,313
286,313
286,314
287,314
288,314
288,313
289,313
290,313
291,313
292,313
293,313
293,312
293,311
293,310
293,309
293,308
293,307
293,306
293,305
293,304
293,303
293,302
293,301
293,300
293,299
293,298
293,297
293,296
294,296
295,296
295,295
296,295
296,294
297,294
298,294
299,294
300,294
300,293
301,293
301,292
301,291
301,290
301,289
301,288
301,287
302,287
303,287
304,287
305,287
306,287
307,287
308,287
309,287
310,287
310,286
310,285
311,285
311,284
312,284
312,283
313,283
314,283
315,283
316,283
317,283
318,283
319,283
319,282
320,282
320,281
321,281
321,280
321,279
322,279
323,279
323,278
324,278
325,278
326,278
327,278
328,278
329,278
330,278
330,277
330,276
330,275
330,274
330,273
330,272
330,271
330,270
330,269
330,268
330,267
330,266
330,265
330,264
330,263
330,262
330,261
330,260
331,260
332,260
332,259
332,258
332,257
333,257
334,257
335,257
336,257
337,257
338,257
339,257
340,257
341,257
342,257
343,257
344,257
345,257
346,257
347,257
348,257
349,257
350,257
351,257
352,257
353,257
354,257
355,257
355,256
355,255
355,254
355,253
356,253
357,253
358,253
359,253
360,253
361,253
362,253
363,253
364,253
365,253
366,253
367,253
368,253
369,253
370,253
371,253
372,253
373,253
374,253
375,253
375,254
376,254
376,255
377,255
378,255
379,255
380,255
381,255
382,255
382,254
382,253
382,252
383,252
384,252
385,252
386,252
387,252
388,252
389,252
390,252
390,251
390,250
390,249
390,248
390,247
391,247
392,247
393,247
394,247
395,247
396,247
397,247
398,247
399,247
400,247
401,247
402,247
403,247
404,247
405,247
406,247
407,247
408,247
409,247
410,247
411,247
412,247
413,247
414,247
414,246
415,246
416,246
417,246
418,246
419,246
420,246
421,246
422,246
423,246
423,245
424,245
424,244
424,243
425,243
425,242
425,241
425,240
426,240
426,239
426,238
426,237
426,236
426,235
427,235
428,235
429,235
430,235
431,235
432,235
433,235
434,235
435,235
436,235
437,235
438,235
439,235
440,235
441,235
441,236
441,237
