x,y
511,0
510,1
509,1
508,2
507,2
506,3
505,3
504,4
503,4
502,5
501,5
500,6
499,6
498,7
497,7
496,8
496,9
496,10
496,11
496,12
496,13
496,14
496,15
496,16
496,17
496,18
496,19
496,20
496,21
496,22
496,23
496,24
496,25
496,26
495,26
494,27
494,28
493,28
492,29
491,29
490,30
489,30
488,31
487,31
486,32
485,31
484,31
483,30
482,30
481,29
480,29
479,28
478,28
477,27
476,27
475,26
474,26
473,25
472,25
471,24
470,24
469,23
468,23
467,22
466,22
465,21
464,21
463,20
462,20
461,19
460,19
459,18
458,18
457,17
456,17
455,16
454,16
453,15
452,15
451,15
450,15
449,15
448,15
447,15
446,16
445,16
444,17
443,17
442,18
441,18
440,19
439,19
438,20
437,20
436,21
435,21
434,22
433,22
432,23
431,23
430,24
429,24
428,24
427,23
426,23
425,23
424,24
423,23
422,23
421,22
420,22
419,21
418,21
417,20
416,20
415,19
414,19
413,18
412,18
411,17
410,17
409,16
408,16
407,15
406,15
405,14
404,14
403,13
402,13
401,12
400,12
399,11
398,11
397,10
396,10
395,9
394,9
393,8
392,8
391,7
390,7
389,6
388,6
387,5
386,5
385,4
384,4
383,4
382,5
381,5
380,6
379,6
378,7
377,7
376,8
376,9
376,10
376,11
376,12
376,13
376,14
376,15
377,15
378,16
379,16
380,17
381,17
382,18
383,18
383,19
383,20
383,21
383,22
383,23
383,24
383,25
383,26
383,27
383,28
383,29
383,30
383,31
383,32
383,33
383,34
383,35
383,36
383,37
383,38
383,39
383,40
383,41
383,42
383,43
383,44
383,45
383,46
383,47
383,48
383,49
383,50
383,51
383,52
383,53
383,54
383,55
383,56
384,57
385,57
385,58
386,59
386,60
387,60
388,61
388,62
389,62
390,63
390,64
390,65
391,65
391,66
391,67
391,68
391,69
391,70
391,71
392,72
393,72
393,73
394,74
394,75
395,75
396,76
397,76
398,77
399,77
400,78
401,78
402,79
403,79
404,80
405,80
405,81
405,82
405,83
405,84
405,85
405,86
405,87
406,88
406,89
406,90
406,91
406,92
406,93
406,94
407,94
408,95
408,96
409,96
410,97
411,97
412,98
413,98
414,99
415,99
416,100
417,100
418,101
419,101
420,102
421,102
421,103
421,104
421,105
421,106
421,107
421,108
421,109
421,110
421,111
421,112
421,113
421,114
421,115
421,116
421,117
421,118
421,119
421,120
421,121
421,122
421,123
421,124
421,125
421,126
421,127
422,128
423,128
423,129
423,130
423,131
423,132
423,133
423,134
423,135
423,136
423,137
423,138
423,139
423,140
423,141
423,142
423,143
423,144
423,145
423,146
423,147
423,148
423,149
423,150
423,151
423,152
423,153
423,154
423,155
423,156
423,157
423,158
423,159
423,160
423,161
423,162
423,163
423,164
423,165
423,166
423,167
423,168
423,169
423,170
423,171
423,172
423,173
423,174
423,175
423,176
423,177
423,178
423,179
423,180
423,181
423,182
423,183
423,184
423,185
423,186
424,187
425,187
425,188
425,189
425,190
425,191
426,192
426,193
426,194
426,195
426,196
426,197
426,198
426,199
426,200
426,201
426,202
426,203
426,204
426,205
426,206
426,207
426,208
426,209
427,209
428,210
429,210
430,211
431,211
432,212
433,212
434,213
435,213
435,214
436,215
436,216
436,217
436,218
436,219
436,220
436,221
436,222
436,223
436,224
436,225
436,226
436,227
436,228
436,229
436,230
436,231
436,232
436,233
436,234
436,235
436,236
436,237
436,238
436,239
436,240
436,241
436,242
436,243
436,244
436,245
436,246
436,247
436,248
436,249
436,250
436,251
436,252
437,252
438,253
439,253
439,254
439,255
440,256
440,257
440,258
440,259
440,260
440,261
440,262
440,263
440,264
441,264
442,265
443,265
444,266
445,266
446,267
447,267
448,268
449,268
450,269
451,269
452,270
453,270
454,271
455,271
456,272
457,272
458,273
459,273
459,274
459,275
459,276
459,277
459,278
459,279
459,280
459,281
459,282
459,283
459,284
459,285
459,286
459,287
459,288
459,289
459,290
460,291
461,291
462,292
463,292
464,293
465,293
466,294
467,294
468,295
469,295
470,296
471,296
472,297
473,297
474,298
475,298
476,299
477,299
478,300
479,300
480,301
481,301
482,302
483,302
484,303
485,303
486,304
487,304
487,305
487,306
488,307
488,308
488,309
488,310
488,311
488,312
488,313
488,314
488,315
488,316
488,317
488,318
488,319
488,320
488,321
488,322
488,323
488,324
488,325
488,326
488,327
488,328
488,329
488,330
488,331
488,332
488,333
488,334
488,335
488,336
488,337
488,338
488,339
488,340
488,341
488,342
488,343
488,344
488,345
488,346
488,347
488,348
488,349
488,350
488,351
489,351
490,352
491,352
492,353
493,353
494,354
495,354
495,355
495,356
495,357
495,358
495,359
495,360
495,361
495,362
495,363
495,364
495,365
495,366
495,367
495,368
495,369
495,370
495,371
495,372
495,373
495,374
495,375
495,376
495,377
495,378
495,379
495,380
495,381
495,382
495,383
496,384
496,385
496,386
496,387
496,388
496,389
496,390
496,391
496,392
496,393
496,394
496,395
496,396
496,397
496,398
496,399
496,400
496,401
497,401
498,402
499,402
500,403
501,403
502,404
503,404
503,405
504,406
504,407
504,408
504,409
504,410
504,411
504,412
504,413
504,414
504,415
504,416
504,417
504,418
504,419
504,420
504,421
504,422
504,423
504,424
504,425
504,426
504,427
504,428
504,429
504,430
504,431
504,432
504,433
504,434
504,435
504,436
504,437
504,438
504,439
504,440
504,441
504,442
504,443
504,444
504,445
505,445
505,446
505,447
505,448
505,449
505,450
505,451
505,452
505,453
505,454
505,455
505,456
505,457
505,458
505,459
505,460
505,461
505,462
505,463
505,464
505,465
505,466
505,467
505,468
505,469
505,470
505,471
505,472
505,473
505,474
505,475
505,476
505,477
505,478
505,479
505,480
505,481
505,482
505,483
505,484
505,485
505,486
505,487
505,488
505,489
505,490
505,491
505,492
505,493
505,494
505,495
505,496
505,497
505,498
505,499
505,500
505,501
505,502
505,503
505,504
505,505
506,506
507,506
507,507
508,508
509,508
509,509
509,510
510,511
511,511
