x,y
434,1
435,1
436,2
437,2
438,3
439,3
439,4
439,5
439,6
440,7
441,7
442,8
443,8
444,9
444,10
445,10
446,11
447,11
448,12
449,12
450,13
451,13
452,14
453,14
453,15
453,16
453,17
453,18
454,19
454,20
455,20
456,21
457,21
457,22
457,23
457,24
457,25
457,26
457,27
457,28
457,29
458,30
459,30
460,31
461,31
462,32
463,32
464,33
465,33
466,34
467,34
468,35
469,35
470,36
471,36
472,37
473,37
473,38
473,39
473,40
473,41
473,42
473,43
473,44
472,45
472,46
471,46
470,47
469,47
468,48
468,49
468,50
467,50
466,51
465,51
464,52
463,52
462,53
462,54
462,55
462,56
462,57
462,58
462,59
461,59
460,60
460,61
459,61
459,62
459,63
458,64
457,64
457,65
457,66
457,67
457,68
457,69
457,70
457,71
456,72
456,73
456,74
456,75
456,76
456,77
456,78
456,79
456,80
455,80
454,81
454,82
453,82
452,83
452,84
452,85
452,86
452,87
452,88
452,89
452,90
452,91
452,92
452,93
452,94
452,95
452,96
452,97
452,98
451,98
450,99
450,100
450,101
449,101
448,102
447,102
446,103
446,104
446,105
445,105
444,106
444,107
443,107
442,108
441,108
441,109
440,110
439,110
438,111
438,112
438,113
437,113
437,114
437,115
436,116
435,116
434,117
433,117
432,118
431,118
430,119
429,119
428,120
427,120
426,121
425,121
425,122
425,123
425,124
425,125
424,126
423,126
422,127
421,127
421,128
421,129
420,130
420,131
419,131
418,132
417,132
416,133
415,133
414,134
413,134
413,135
413,136
413,137
412,138
412,139
411,139
410,140
410,141
409,141
408,142
407,142
407,143
407,144
407,145
407,146
407,147
407,148
407,149
407,150
407,151
406,152
405,152
404,153
403,153
402,154
402,155
402,156
402,157
402,158
402,159
401,159
400,160
400,161
399,161
399,162
398,163
397,163
396,164
395,164
394,165
393,165
392,166
392,167
392,168
392,169
392,170
392,171
392,172
392,173
391,173
391,174
391,175
391,176
391,177
391,178
391,179
391,180
391,181
391,182
391,183
391,184
390,185
390,186
389,186
388,187
387,187
386,188
386,189
386,190
386,191
386,192
386,193
386,194
386,195
385,195
385,196
385,197
385,198
385,199
385,200
385,201
385,202
385,203
385,204
385,205
385,206
385,207
384,208
383,208
382,209
381,209
380,210
379,210
378,211
377,211
376,212
376,213
376,214
375,214
375,215
375,216
374,217
373,217
372,217
371,217
370,218
369,218
369,219
369,220
370,221
370,222
370,223
370,224
370,225
370,226
370,227
369,227
368,228
367,228
367,229
366,230
366,231
366,232
366,233
366,234
366,235
365,235
364,236
363,236
362,237
361,237
360,238
359,238
358,239
357,239
357,240
357,241
357,242
356,243
356,244
355,244
354,245
353,245
353,246
352,247
351,247
350,248
349,248
348,249
347,249
346,250
345,249
344,249
343,248
342,248
341,247
340,248
339,248
339,249
339,250
339,251
339,252
339,253
339,254
339,255
339,256
339,257
338,258
337,258
336,259
335,259
334,260
333,260
332,261
332,262
332,263
332,264
332,265
332,266
332,267
332,268
332,269
332,270
332,271
332,272
331,272
331,273
331,274
331,275
331,276
331,277
330,278
330,279
329,279
328,280
328,281
328,282
328,283
327,283
326,284
325,284
324,285
323,285
322,286
322,287
321,287
320,288
319,288
319,289
319,290
319,291
319,292
319,293
318,294
317,294
316,295
315,295
314,296
313,296
313,297
313,298
312,299
311,299
310,300
310,301
309,301
309,302
309,303
308,304
308,305
308,306
308,307
308,308
307,308
306,309
305,309
304,310
304,311
304,312
304,313
304,314
304,315
305,315
306,316
306,317
306,318
306,319
305,319
304,320
303,320
303,321
303,322
303,323
303,324
303,325
303,326
303,327
303,328
303,329
303,330
303,331
303,332
302,333
302,334
302,335
302,336
302,337
302,338
302,339
301,339
300,340
299,340
298,341
297,341
297,342
297,343
297,344
297,345
297,346
296,347
295,347
294,348
293,348
292,349
291,349
290,350
289,350
288,351
287,351
287,352
287,353
287,354
287,355
287,356
286,357
285,357
284,358
283,358
282,359
281,359
280,360
279,360
278,361
277,361
276,362
275,362
275,363
274,364
273,364
272,365
271,365
270,366
269,366
268,366
267,365
266,365
265,365
264,365
263,365
263,366
262,367
262,368
261,368
261,369
261,370
261,371
261,372
260,373
260,374
260,375
259,375
259,376
259,377
259,378
259,379
259,380
258,381
257,381
256,382
255,382
254,383
253,383
252,384
251,384
250,385
249,385
248,386
248,387
247,387
247,388
247,389
247,390
247,391
246,392
245,392
244,393
243,393
242,394
241,394
240,395
239,395
239,396
239,397
238,398
238,399
238,400
238,401
238,402
238,403
238,404
237,404
236,405
235,405
234,406
233,406
232,407
231,407
230,408
229,408
229,409
229,410
229,411
229,412
229,413
228,414
227,414
226,415
225,415
224,416
224,417
223,417
222,418
221,418
220,419
219,419
218,420
217,420
217,421
216,422
215,422
214,423
213,423
212,424
211,424
210,425
209,425
208,426
208,427
208,428
207,428
206,429
205,429
204,430
203,430
202,431
201,431
201,432
201,433
201,434
201,435
201,436
201,437
200,438
200,439
200,440
199,440
199,441
199,442
198,443
197,443
196,444
195,444
194,445
193,445
192,446
192,447
191,447
191,448
191,449
190,450
189,450
189,451
188,452
188,453
188,454
188,455
188,456
188,457
188,458
188,459
188,460
188,461
189,461
190,461
190,460
191,459
192,459
193,458
194,458
