x,y
125,500
125,499
125,498
124,498
124,497
123,497
122,497
121,497
120,497
119,497
118,497
117,497
116,497
115,497
114,497
113,497
112,497
111,497
110,497
109,497
108,497
107,497
106,497
105,497
104,497
103,497
103,496
102,496
101,496
100,496
99,496
98,496
97,496
96,496
95,496
95,495
94,495
94,494
94,493
94,492
94,491
94,490
94,489
94,488
94,487
94,486
94,485
94,484
94,483
94,482
94,481
94,480
94,479
94,478
94,477
94,476
94,475
95,475
96,475
97,475
98,475
99,475
100,475
101,475
102,475
103,475
104,475
105,475
106,475
107,475
108,475
109,475
110,475
111,475
112,475
113,475
114,475
115,475
116,475
117,475
118,475
119,475
120,475
121,475
122,475
123,475
124,475
125,475
126,475
127,475
128,475
129,475
130,475
131,475
132,475
133,475
134,475
135,475
136,475
137,475
138,475
139,475
140,475
141,475
142,475
143,475
144,475
145,475
146,475
147,475
148,475
149,475
150,475
151,475
152,475
153,475
154,475
154,476
155,476
155,477
156,477
156,478
156,479
157,479
158,479
159,479
160,479
161,479
162,479
163,479
164,479
165,479
166,479
167,479
168,479
169,479
170,479
171,479
172,479
173,479
174,479
175,479
176,479
177,479
178,479
179,479
180,479
181,479
182,479
183,479
184,479
185,479
186,479
187,479
188,479
189,479
190,479
191,479
192,479
193,479
194,479
195,479
196,479
197,479
198,479
199,479
200,479
201,479
202,479
203,479
204,479
205,479
206,479
207,479
208,479
209,479
210,479
211,479
212,479
213,479
214,479
215,479
216,479
217,479
218,479
219,479
220,479
221,479
222,479
223,479
224,479
225,479
226,479
227,479
228,479
229,479
230,479
231,479
232,479
232,480
233,480
234,480
235,480
236,480
237,480
238,480
239,480
240,480
241,480
242,480
243,480
244,480
245,480
246,480
247,480
248,480
249,480
250,480
251,480
252,480
253,480
254,480
255,480
256,480
257,480
258,480
259,480
260,480
261,480
262,480
263,480
264,480
264,481
264,482
264,483
264,484
264,485
265,485
265,486
266,486
267,486
268,486
269,486
270,486
271,486
272,486
273,486
274,486
275,486
276,486
277,486
278,486
279,486
280,486
281,486
282,486
283,486
284,486
285,486
286,486
287,486
288,486
289,486
290,486
291,486
291,485
292,485
292,484
293,484
294,484
294,483
295,483
296,483
297,483
298,483
299,483
300,483
301,483
302,483
303,483
304,483
305,483
306,483
307,483
308,483
309,483
310,483
311,483
312,483
313,483
314,483
314,484
314,485
314,486
314,487
314,488
314,489
314,490
314,491
314,492
315,492
315,493
316,493
316,494
316,495
317,495
318,495
318,496
319,496
319,497
320,497
320,498
321,498
321,499
322,499
323,499
323,500
324,500
324,501
325,501
325,502
326,502
327,502
328,502
329,502
330,502
331,502
332,502
333,502
334,502
335,502
336,502
337,502
338,502
339,502
340,502
341,502
342,502
343,502
344,502
345,502
346,502
347,502
348,502
349,502
350,502
351,502
352,502
353,502
354,502
355,502
356,502
357,502
358,502
359,502
360,502
361,502
362,502
362,501
362,500
362,499
362,498
362,497
362,496
362,495
362,494
362,493
362,492
362,491
362,490
361,490
361,489
361,488
360,488
360,487
360,486
359,486
359,485
358,485
358,484
357,484
356,484
355,484
354,484
353,484
352,484
351,484
350,484
349,484
348,484
347,484
346,484
345,484
344,484
343,484
342,484
341,484
340,484
340,485
