x,y
246,25
246,24
246,23
245,23
244,23
243,23
242,23
241,23
241,22
240,22
239,22
238,22
237,22
236,22
235,22
234,22
233,22
232,22
231,22
231,23
230,23
229,23
229,24
229,25
229,26
229,27
229,28
229,29
229,30
229,31
229,32
229,33
228,33
227,33
226,33
225,33
225,34
225,35
224,35
223,35
222,35
221,35
220,35
219,35
218,35
217,35
216,35
215,35
214,35
213,35
213,36
212,36
212,37
212,38
212,39
212,40
212,41
212,42
212,43
212,44
212,45
212,46
212,47
211,47
211,48
210,48
210,49
210,50
210,51
210,52
210,53
210,54
210,55
210,56
210,57
210,58
210,59
210,60
211,60
211,61
211,62
211,63
211,64
211,65
211,66
211,67
211,68
211,69
211,70
212,70
212,71
213,71
213,72
213,73
213,74
213,75
213,76
213,77
213,78
214,78
214,79
215,79
215,80
216,80
216,81
217,81
217,82
218,82
219,82
219,83
220,83
220,84
220,85
220,86
220,87
220,88
220,89
220,90
219,90
219,91
219,92
219,93
219,94
219,95
219,96
219,97
219,98
218,98
218,99
218,100
218,101
218,102
218,103
218,104
218,105
218,106
218,107
218,108
218,109
218,110
218,111
217,111
217,112
217,113
217,114
217,115
217,116
217,117
217,118
217,119
217,120
217,121
217,122
216,122
216,123
216,124
215,124
215,125
214,125
214,126
213,126
213,127
213,128
213,129
213,130
213,131
213,132
213,133
213,134
213,135
212,135
211,135
210,135
209,135
208,135
208,136
208,137
208,138
208,139
208,140
208,141
208,142
208,143
208,144
208,145
208,146
208,147
208,148
208,149
208,150
208,151
207,151
207,152
206,152
205,152
205,153
204,153
204,154
204,155
204,156
204,157
204,158
205,158
206,158
207,158
207,159
207,160
208,160
209,160
210,160
211,160
212,160
213,160
214,160
215,160
216,160
217,160
217,161
217,162
217,163
217,164
217,165
217,166
217,167
218,167
218,168
219,168
220,168
220,169
220,170
220,171
220,172
220,173
220,174
220,175
221,175
222,175
223,175
224,175
225,175
226,175
226,176
227,176
227,177
227,178
227,179
227,180
227,181
227,182
227,183
227,184
227,185
227,186
226,186
225,186
224,186
224,187
223,187
223,188
223,189
222,189
222,190
221,190
220,190
219,190
219,191
218,191
218,192
218,193
218,194
218,195
218,196
218,197
218,198
219,198
219,199
220,199
220,200
220,201
220,202
220,203
220,204
220,205
220,206
220,207
221,207
221,208
221,209
221,210
221,211
221,212
221,213
221,214
221,215
221,216
221,217
220,217
219,217
218,217
217,217
217,218
217,219
217,220
217,221
217,222
217,223
217,224
217,225
217,226
217,227
217,228
217,229
217,230
217,231
217,232
217,233
217,234
217,235
217,236
217,237
217,238
218,238
218,239
219,239
219,240
219,241
219,242
219,243
219,244
219,245
220,245
220,246
221,246
221,247
222,247
222,248
222,249
222,250
222,251
222,252
222,253
222,254
222,255
222,256
222,257
222,258
222,259
222,260
222,261
222,262
222,263
222,264
222,265
223,265
223,266
223,267
223,268
223,269
223,270
223,271
223,272
223,273
222,273
221,273
221,274
220,274
220,275
220,276
220,277
220,278
220,279
220,280
220,281
220,282
221,282
221,283
222,283
222,284
222,285
222,286
222,287
222,288
222,289
222,290
221,290
221,291
221,292
221,293
221,294
221,295
221,296
221,297
221,298
221,299
221,300
221,301
221,302
221,303
221,304
221,305
220,305
220,306
219,306
218,306
217,306
216,306
215,306
215,307
215,308
215,309
215,310
215,311
215,312
215,313
215,314
215,315
215,316
215,317
216,317
217,317
217,318
217,319
217,320
217,321
217,322
217,323
217,324
216,324
216,325
215,325
215,326
214,326
213,326
212,326
211,326
211,327
211,328
211,329
210,329
210,330
210,331
210,332
210,333
210,334
210,335
210,336
210,337
210,338
210,339
210,340
210,341
210,342
210,343
210,344
210,345
210,346
210,347
211,347
211,348
212,348
213,348
214,348
215,348
215,349
215,350
215,351
215,352
215,353
215,354
215,355
215,356
215,357
216,357
216,358
217,358
218,358
218,359
219,359
219,360
220,360
220,361
220,362
220,363
220,364
220,365
220,366
220,367
220,368
220,369
220,370
220,371
220,372
221,372
221,373
222,373
223,373
224,373
225,373
226,373
226,372
226,371
226,370
225,370
225,369
224,369
224,368
223,368
223,367
223,366
223,365
