x,y
62,346
62,347
62,348
62,349
62,350
62,351
62,352
62,353
62,354
63,354
63,355
63,356
63,357
63,358
63,359
64,360
64,361
65,361
65,362
66,363
67,363
68,363
69,362
70,362
71,361
72,361
73,360
74,360
74,359
74,358
74,357
74,356
74,355
74,354
74,353
74,352
74,351
74,350
74,349
75,348
76,348
77,347
78,347
79,346
80,346
81,345
82,345
83,344
84,344
85,343
86,343
87,343
88,344
89,344
90,345
91,345
92,346
93,346
94,347
94,348
94,349
94,350
95,350
96,351
97,351
98,352
99,352
100,352
101,351
102,351
103,350
104,350
105,350
106,350
107,350
108,350
109,349
110,349
111,348
112,348
113,347
114,347
115,346
116,346
117,345
118,345
119,344
119,343
120,343
121,342
122,342
123,341
124,341
125,340
126,340
127,339
128,339
129,338
130,338
131,337
132,337
133,336
134,336
135,335
135,334
136,334
137,333
138,333
139,332
140,332
141,331
142,331
143,330
144,330
145,329
146,329
147,328
148,328
149,327
150,327
151,326
152,326
153,325
153,324
154,324
155,324
156,325
157,325
158,326
159,326
160,327
161,327
162,328
162,329
162,330
163,330
164,331
165,331
166,332
167,332
168,333
169,332
170,332
171,331
172,331
173,330
174,330
175,329
176,329
177,328
178,328
179,327
180,327
181,326
182,326
183,325
184,325
185,324
185,323
186,323
187,322
188,322
189,321
190,321
191,320
192,320
193,319
194,319
195,319
196,319
197,319
198,319
199,319
200,319
201,318
202,318
203,318
204,318
205,317
206,317
207,316
208,316
209,315
210,315
211,314
212,315
213,314
214,314
215,313
216,313
217,313
218,314
219,313
220,313
221,312
222,312
223,311
224,311
225,310
226,310
227,309
228,309
229,308
230,308
231,307
232,307
233,307
234,308
235,308
236,309
237,309
238,310
239,310
240,310
241,309
242,309
243,309
244,309
245,309
246,310
247,310
248,311
249,311
250,312
251,311
252,311
253,310
254,310
255,310
256,310
257,310
258,310
259,310
260,310
261,310
262,311
263,311
264,312
265,312
266,313
267,313
268,313
269,312
270,312
271,311
272,311
273,310
273,309
274,309
275,309
276,310
277,310
278,310
279,309
280,310
281,310
282,310
283,309
284,309
285,308
286,308
287,307
287,306
287,305
287,304
287,303
287,302
287,301
288,301
289,300
290,300
291,299
292,299
292,298
292,297
293,296
294,296
295,295
296,295
297,294
298,294
299,293
300,293
300,292
301,291
301,290
302,290
303,289
304,289
305,288
306,288
307,288
308,288
309,287
310,287
310,286
311,285
312,285
313,284
314,284
315,284
316,284
317,283
318,283
319,282
320,282
321,281
322,281
323,280
324,280
325,279
326,279
327,278
328,278
329,277
330,277
330,276
330,275
330,274
330,273
330,272
330,271
331,270
332,270
333,269
334,269
335,269
336,269
337,268
338,268
339,267
340,267
341,266
342,266
342,265
342,264
343,263
343,262
343,261
343,260
343,259
344,259
345,258
346,258
347,257
348,257
349,257
350,258
351,258
352,259
353,259
354,260
355,259
356,259
357,258
358,258
359,257
360,257
361,256
362,256
363,255
364,255
365,254
366,254
367,254
368,254
369,254
370,255
371,254
372,254
373,253
374,254
375,254
376,255
377,255
378,255
379,255
380,255
381,255
382,255
383,255
384,255
385,254
386,254
387,253
388,253
389,252
390,252
390,251
391,250
392,250
393,249
394,249
395,249
396,250
397,249
398,249
399,248
400,248
401,247
402,247
403,246
404,246
405,245
406,245
406,244
407,243
408,243
408,242
409,241
410,241
410,240
411,239
412,239
413,238
414,238
415,237
416,237
417,236
418,236
419,235
420,235
421,234
422,234
423,233
424,233
425,232
426,232
427,231
428,231
429,230
430,230
431,229
432,229
433,228
434,228
434,227
435,226
436,226
437,225
438,225
439,224
440,225
441,225
442,226
443,226
444,226
445,225
446,225
447,224
448,224
449,223
450,223
451,222
452,222
453,221
454,221
455,220
456,220
456,219
457,218
457,217
457,216
457,215
457,214
457,213
458,213
459,212
460,212
461,211
462,211
463,210
464,210
465,210
466,210
467,210
468,211
469,211
470,211
471,210
472,210
473,209
474,209
475,208
476,208
477,208
478,208
479,207
480,207
481,206
482,206
483,205
484,205
485,204
486,204
487,204
488,204
489,204
490,205
491,205
492,206
493,206
494,207
495,207
496,208
497,207
498,207
498,206
499,205
500,205
501,204
502,204
502,203
502,202
503,201
504,201
505,200
506,200
506,199
506,198
506,197
506,196
506,195
506,194
505,193
504,193
503,193
502,194
501,194
500,194
499,193
498,193
497,192
496,192
495,191
494,191
494,190
494,189
493,188
492,188
491,187
490,187
489,186
488,186
488,185
487,184
486,184
485,183
484,183
483,182
482,182
