x,y
340,485
341,484
342,484
343,483
344,483
345,482
346,482
347,481
348,481
349,480
350,480
351,479
352,479
353,478
354,478
355,477
356,477
357,476
358,476
359,475
360,475
361,474
361,473
361,472
362,472
362,471
362,470
362,469
362,468
362,467
362,466
361,465
361,464
360,464
359,463
359,462
358,462
357,461
357,460
356,460
355,459
355,458
354,458
353,457
352,457
351,456
350,456
349,456
348,456
347,456
346,456
345,456
344,456
343,456
342,457
341,457
340,458
339,457
338,458
337,458
336,459
335,459
334,460
333,460
332,460
331,460
330,461
329,461
328,461
327,460
326,461
325,460
324,460
323,459
322,459
321,458
320,458
319,457
318,457
317,456
316,456
315,455
314,455
313,454
312,454
311,453
310,453
309,453
308,453
307,453
306,453
305,452
304,453
303,452
302,452
301,451
300,451
299,451
298,451
297,450
296,450
295,450
294,450
293,449
292,449
291,448
290,449
289,449
288,450
287,450
286,451
285,451
284,452
283,452
282,453
281,453
280,454
279,453
278,454
277,454
276,455
275,455
274,456
273,456
272,457
271,457
270,458
269,458
268,458
267,458
266,459
265,459
264,460
263,460
262,461
261,461
260,462
259,462
258,463
257,463
256,463
255,463
254,463
253,463
252,464
251,464
250,465
249,465
248,466
247,466
246,466
245,465
244,466
243,466
242,467
241,467
240,468
239,468
238,469
237,469
236,469
235,469
234,469
233,468
232,469
231,469
230,470
229,470
228,471
227,471
226,472
225,472
224,473
223,473
222,474
221,474
220,475
219,475
218,476
217,476
216,477
215,477
214,478
213,478
212,479
211,479
210,480
209,480
208,481
207,480
206,480
205,480
204,480
203,480
202,480
201,480
200,480
199,480
198,481
197,481
196,481
195,480
194,480
193,479
192,479
191,479
190,479
189,479
188,479
187,478
186,478
185,477
184,477
183,476
182,476
181,475
180,475
179,474
178,475
177,474
176,474
175,473
174,473
173,473
172,473
171,473
170,473
169,473
168,473
167,473
166,474
165,474
164,475
163,474
162,474
161,473
160,473
159,473
158,473
157,473
156,473
155,473
154,474
153,474
152,474
151,474
150,474
149,473
148,473
147,472
146,472
145,471
144,471
143,470
142,470
141,469
140,470
139,470
138,471
137,471
136,472
135,472
134,472
133,472
132,472
131,472
130,472
129,472
128,472
127,472
126,473
125,472
124,472
123,472
122,472
121,472
120,472
119,472
118,473
117,473
116,473
115,473
114,474
113,474
112,475
111,474
110,475
109,475
108,476
107,476
106,477
105,477
104,478
103,478
102,479
101,479
101,480
100,481
99,481
99,482
98,483
98,484
97,484
97,485
96,486
95,486
95,487
94,488
94,489
94,490
94,491
94,492
94,493
94,494
94,495
95,495
96,496
97,496
98,497
99,496
100,496
101,496
102,497
103,496
104,497
105,497
106,497
107,497
108,498
109,497
110,498
111,497
112,498
113,497
114,498
115,497
116,498
117,498
118,499
119,498
120,499
121,499
122,500
123,500
124,500
125,500
